search_term,name,country,officers
ABB,Abb Agency Limited,gb,"{""Vanessa Marie-Antoine Payet"",""Burak Bektas"",""Alper Unsal""}"
ABB,Abb Alice Group Limited,gb,"{""Grenville Peter Willis Burn"",""Keith Andrew Hatchick""}"
ABB,Abb Alice Limited,gb,"{""Grenville Peter Willis Burn"",""Keith Andrew Hatchick""}"
ABB,Abb Associates Ltd,gb,"{""Christiana Bernard"",""Albert Bernard""}"
ABB,Abb Automation Limited,gb,"{""David Benn"",""William Mclaughlin"",""Ian Donald Rennie"",""Sakari Ahdekivi"",""Stephen John Gardner"",""Robin Nigel Hankins"",""Hakan Moreen"",""Robert Alfred Yehl"",""Kenneth Blom"",""Stephen Leslie Brown"",""Jorgen Centerman"",""David Denton"",""Michael Robert Dickens"",""Eric Drewery"",""Peter James Hewlett"",""David Alun Hughes"",""Peer Hakon Jensen"",""Nils Leffler"",""Anthony John Lodge"",""David Brian Mumford"",""John Telfer Sinclair"",""John Trostheim"",""Stephen John Gardner"",""Victoria Ann Maclean""}"
AGR,A.G.R.,be,{}
AGR,A.G.R.,be,{}
AGR,A.G.R.,be,{}
AGR,Agr 2 Limited,gb,"{""Kai Richter"",""Konrad Aidan Aspinall"",""Oliver Breidt""}"
AGR,Agr 3 Limited,gb,"{""Kai Richter"",""Konrad Aidan Aspinall"",""Oliver Breidt""}"
AMNI International,Amni International Limited,gb,{}
Addax Petroleum,Addax Petroleum Uk Limited,gb,"{""Chuanhui Xu"",""Yi Zhang"",""John Mcandrew Warrender"","" Jordan Company Secretaries Limited""}"
Addax Petroleum,Addax Petroleum Cameroon Limited,im,{}
Addax Petroleum,Addax Petroleum Gabon Limited,im,{}
Addax Petroleum,Addax Petroleum International Limited,im,{}
Addax Petroleum,Addax Petroleum Iris Marin Limited,je,{}
Afren,Afren Block One Limited,gb,"{""Shirin Johri"",""Elekwachi Ukwu"",""Darra Martin Comyn"",""Osman Shahenshah"",""Raymond Vivian Franks"",""Osamede Okhomina"",""Olav Eimstad"",""Egbert Ulogo Imomoh"",""Evert Jan Sibinga Mulder"",""Constantine Afolabi Leo Ogunbiyi"",""Osman Shahenshah"",""Osamede Okhomina"","" Abergan Reed Nominees Limited"","" Abergan Reed Limited""}"
