id,owner,source_uri,field_operator,scrape_id,capacity,operator,rig_id,name,scrape_date,site,location_field,country,detail_uri,rated_water_depth,manager,drilling_depth,rig_type,top drive,rig design,current_water_depth,region,derrick,rig_design,rotary table,mud pumps,ship_type,flag,operating_status,competitive_rig,drawworks,delivery year,classification,shipyard
1,Prosafe,http://fpso.com/fpso/?page=1,Nigerian Agip Exploration,pigUztOx,932,Prosafe,ABO,ABO,2014-09-18 18:56:16.286632,FPSO,Abo,Nigeria,http://fpso.com/fpso/1/,,,,,,,,,,,,,,,,,,,,
2,Chevron,http://fpso.com/fpso/?page=1,NNPC,pigUztOx,1800,Star Deepwater JV,AGBAMI,AGBAMI,2014-09-18 18:56:16.286632,FPSO,"Agbami OPL 216, 217",Nigeria,http://fpso.com/fpso/2/,,,,,,,,,,,,,,,,,,,,
3,Total,http://fpso.com/fpso/?page=1,Total,pigUztOx,2000,Total,AKPO,AKPO,2014-09-18 18:56:16.286632,FPSO,"Akpo OPL 246, OML-130",Nigeria,http://fpso.com/fpso/3/,,,,,,,,,,,,,,,,,,,,
4,Maersk,http://fpso.com/fpso/?page=1,Marathon,pigUztOx,560,Maersk,ALVHEIM,ALVHEIM,2014-09-18 18:56:16.286632,FPSO,Alvheim,Norway,http://fpso.com/fpso/5/,,,,,,,,,,,,,,,,,,,,
5,Zaafarana Oil Company,http://fpso.com/fpso/?page=1,Zaafarana Oil Company,pigUztOx,800,Prosafe,AL ZAAFARANA,AL ZAAFARANA,2014-09-18 18:56:16.286632,FPSO,Zaafarana Block BN 1,Egypt,http://fpso.com/fpso/4/,,,,,,,,,,,,,,,,,,,,
6,Shell,http://fpso.com/fpso/?page=1,Shell,pigUztOx,2000,Shell,ANASURIA,ANASURIA,2014-09-18 18:56:16.286632,FPSO,"Teal, Teal South, Guillemot A, Cook",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/6/,,,,,,,,,,,,,,,,,,,,
7,MODEC,http://fpso.com/fpso/?page=1,BP,pigUztOx,2000,MODEC,ANGOLA PSVM,ANGOLA PSVM,2014-09-18 18:56:16.286632,FPSO,"Block 31 NE - Plutao, Saturno, Venus, Mars",Angola,http://fpso.com/fpso/7/,,,,,,,,,,,,,,,,,,,,
8,Premier Oil,http://fpso.com/fpso/?page=1,Premier Oil,pigUztOx,550,Premier Oil,ANOA NATUNA,ANOA NATUNA,2014-09-18 18:56:16.286632,FPSO,Anoa Block A,Indonesia,http://fpso.com/fpso/8/,,,,,,,,,,,,,,,,,,,,
9,Bluewater,http://fpso.com/fpso/?page=1,Nexen,pigUztOx,600,Bluewater,AOKA MIZU,AOKA MIZU,2014-09-18 18:56:16.286632,FPSO,"Ettrick Field, North Sea",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/9/,,,,,,,,,,,,,,,,,,,,
10,Burmi Armada,http://fpso.com/fpso/?page=1,AMNI International,pigUztOx,400,Burmi Armada,ARMADA PERKASA,ARMADA PERKASA,2014-09-18 18:56:16.286632,FPSO,Okoro-Setu,Nigeria,http://fpso.com/fpso/10/,,,,,,,,,,,,,,,,,,,,
